,Unnamed: 0,itinerary,ap_los,market,travel_time,fare,provider,search_date,ond,is_duplicate,price_rank_abs,time_rank_abs,price_rank,time_rank
214,1462,VA0833-VA0898,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
215,1463,VA0837-VA0810,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
216,1464,VA0837-VA0812,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
217,1465,VA0837-VA0814,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
218,1466,VA0837-VA0816,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
219,1467,VA0837-VA0894,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
220,1468,VA0845-VA0894,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
221,1469,VA0841-VA0812,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
222,1470,VA0841-VA0816,22_14,MELSYD,180,425,sabre,20180823,MELSYD,N,47,1,19,1
223,1471,VA0869-VA0898,22_14,MELSYD,180,429.99,sabre,20180823,MELSYD,N,48,1,20,1
224,1472,VA0869-VA0894,22_14,MELSYD,180,429.99,sabre,20180823,MELSYD,N,48,1,20,1
225,1473,VA0869-VA0816,22_14,MELSYD,180,429.99,sabre,20180823,MELSYD,N,48,1,20,1
226,1474,VA0869-VA0814,22_14,MELSYD,180,429.99,sabre,20180823,MELSYD,N,48,1,20,1
227,1475,VA0869-VA0812,22_14,MELSYD,180,429.99,sabre,20180823,MELSYD,N,48,1,20,1
228,1476,VA0865-VA0898,22_14,MELSYD,180,429.99,sabre,20180823,MELSYD,N,48,1,20,1
229,1477,VA0865-VA0894,22_14,MELSYD,180,429.99,sabre,20180823,MELSYD,N,48,1,20,1
230,1478,VA0865-VA0816,22_14,MELSYD,180,429.99,sabre,20180823,MELSYD,N,48,1,20,1
231,1479,VA0863-VA0898,22_14,MELSYD,180,429.99,sabre,20180823,MELSYD,N,48,1,20,1
232,1480,VA0863-VA0894,22_14,MELSYD,180,429.99,sabre,20180823,MELSYD,N,48,1,20,1
233,1481,VA0863-VA0816,22_14,MELSYD,180,429.99,sabre,20180823,MELSYD,N,48,1,20,1
234,1482,VA0863-VA0814,22_14,MELSYD,180,429.99,sabre,20180823,MELSYD,N,48,1,20,1
235,1483,VA0883-VA0808,22_14,MELSYD,180,429.99,sabre,20180823,MELSYD,N,48,1,20,1
236,1484,VA0883-VA0806,22_14,MELSYD,180,429.99,sabre,20180823,MELSYD,N,48,1,20,1
237,1485,VA0883-VA0804,22_14,MELSYD,180,429.99,sabre,20180823,MELSYD,N,48,1,20,1
238,1486,VA0883-VA0800,22_14,MELSYD,180,429.99,sabre,20180823,MELSYD,N,48,1,20,1
239,1487,VA0879-VA0806,22_14,MELSYD,180,429.99,sabre,20180823,MELSYD,N,48,1,20,1
240,1488,VA0879-VA0804,22_14,MELSYD,180,429.99,sabre,20180823,MELSYD,N,48,1,20,1
241,1489,VA0879-VA0800,22_14,MELSYD,180,429.99,sabre,20180823,MELSYD,N,48,1,20,1
242,1490,VA0877-VA0806,22_14,MELSYD,180,429.99,sabre,20180823,MELSYD,N,48,1,20,1
243,1491,VA0877-VA0804,22_14,MELSYD,180,429.99,sabre,20180823,MELSYD,N,48,1,20,1
