['MIA']|['SCL']|['2020-07-16', '2020-07-23']|50|200|
['MIA']|['SCL']|['2020-07-16', '2020-07-30']|50|200|
['MIA']|['SCL']|['2020-08-15', '2020-08-22']|50|200|
['MIA']|['SCL']|['2020-08-15', '2020-08-29']|50|200|
['MIA']|['MIA']|['2020-07-16', '2020-07-23']|50|200|
['MIA']|['MIA']|['2020-07-16', '2020-07-30']|50|200|
['MIA']|['MIA']|['2020-08-15', '2020-08-22']|50|200|
['MIA']|['MIA']|['2020-08-15', '2020-08-29']|50|200|
['MIA']|['NYC']|['2020-07-16', '2020-07-23']|50|200|
['MIA']|['NYC']|['2020-07-16', '2020-07-30']|50|200|
['MIA']|['NYC']|['2020-08-15', '2020-08-22']|50|200|
['MIA']|['NYC']|['2020-08-15', '2020-08-29']|50|200|
['MIA']|['SYD']|['2020-07-16', '2020-07-23']|50|200|
['MIA']|['SYD']|['2020-07-16', '2020-07-30']|50|200|
['MIA']|['SYD']|['2020-08-15', '2020-08-22']|50|200|
['MIA']|['SYD']|['2020-08-15', '2020-08-29']|50|200|
['MIA']|['MAD']|['2020-07-16', '2020-07-23']|50|200|
['MIA']|['MAD']|['2020-07-16', '2020-07-30']|50|200|
['MIA']|['MAD']|['2020-08-15', '2020-08-22']|50|200|
['MIA']|['MAD']|['2020-08-15', '2020-08-29']|50|200|
['MIA']|['MEX']|['2020-07-16', '2020-07-23']|50|200|
['MIA']|['MEX']|['2020-07-16', '2020-07-30']|50|200|
['MIA']|['MEX']|['2020-08-15', '2020-08-22']|50|200|
['MIA']|['MEX']|['2020-08-15', '2020-08-29']|50|200|
['MIA']|['LON']|['2020-07-16', '2020-07-23']|50|200|
['MIA']|['LON']|['2020-07-16', '2020-07-30']|50|200|
['MIA']|['LON']|['2020-08-15', '2020-08-22']|50|200|
['MIA']|['LON']|['2020-08-15', '2020-08-29']|50|200|
['NYC']|['MVD']|['2020-07-16', '2020-07-23']|50|200|
['NYC']|['MVD']|['2020-07-16', '2020-07-30']|50|200|
['NYC']|['MVD']|['2020-08-15', '2020-08-22']|50|200|
['NYC']|['MVD']|['2020-08-15', '2020-08-29']|50|200|
['NYC']|['BUE']|['2020-07-16', '2020-07-23']|50|200|
['NYC']|['BUE']|['2020-07-16', '2020-07-30']|50|200|
['NYC']|['BUE']|['2020-08-15', '2020-08-22']|50|200|
['NYC']|['BUE']|['2020-08-15', '2020-08-29']|50|200|
['NYC']|['SCL']|['2020-07-16', '2020-07-23']|50|200|
['NYC']|['SCL']|['2020-07-16', '2020-07-30']|50|200|
['NYC']|['SCL']|['2020-08-15', '2020-08-22']|50|200|
['NYC']|['SCL']|['2020-08-15', '2020-08-29']|50|200|
['NYC']|['MIA']|['2020-07-16', '2020-07-23']|50|200|
['NYC']|['MIA']|['2020-07-16', '2020-07-30']|50|200|
['NYC']|['MIA']|['2020-08-15', '2020-08-22']|50|200|
['NYC']|['MIA']|['2020-08-15', '2020-08-29']|50|200|
['NYC']|['NYC']|['2020-07-16', '2020-07-23']|50|200|
['NYC']|['NYC']|['2020-07-16', '2020-07-30']|50|200|
['NYC']|['NYC']|['2020-08-15', '2020-08-22']|50|200|
['NYC']|['NYC']|['2020-08-15', '2020-08-29']|50|200|
['NYC']|['SYD']|['2020-07-16', '2020-07-23']|50|200|
['NYC']|['SYD']|['2020-07-16', '2020-07-30']|50|200|
['NYC']|['SYD']|['2020-08-15', '2020-08-22']|50|200|
['NYC']|['SYD']|['2020-08-15', '2020-08-29']|50|200|
['NYC']|['MAD']|['2020-07-16', '2020-07-23']|50|200|
['NYC']|['MAD']|['2020-07-16', '2020-07-30']|50|200|
['NYC']|['MAD']|['2020-08-15', '2020-08-22']|50|200|
['NYC']|['MAD']|['2020-08-15', '2020-08-29']|50|200|
['NYC']|['MEX']|['2020-07-16', '2020-07-23']|50|200|
