,Unnamed: 0,name,iso_country,municipality,iata_code
2217,31465,Araxos Airport,GR,Patras,GPA
2218,31466,Chania International Airport,GR,Souda,CHQ
2219,31468,Skiathos Island National Airport,GR,Skiathos,JSI
2220,31469,Samos Airport,GR,Samos Island,SMI
2221,31472,Santorini Airport,GR,Santorini Island,JTR
2222,31473,Sitia Airport,GR,Crete Island,JSH
2223,31479,Thessaloniki Macedonia International Airport,GR,Thessaloniki,SKG
2224,31482,"Zakynthos International Airport ""Dionysios Solomos""",GR,Zakynthos Island,ZTH
2225,31489,Budapest Liszt Ferenc International Airport,HU,Budapest,BUD
2226,31492,Debrecen International Airport,HU,Debrecen,DEB
2227,31527,Pécs-Pogány Airport,HU,Pécs-Pogány,PEV
2228,31533,Sármellék International Airport,HU,Sármellék,SOB
2229,31539,Taszár Air Base,HU,Taszár,TZR
2230,31557,Crotone Airport,IT,Crotone,CRV
2231,31558,Bari Karol Wojtyła Airport,IT,Bari,BRI
2232,31559,"Foggia ""Gino Lisa"" Airport",IT,Foggia,FOG
2233,31560,"Taranto-Grottaglie ""Marcello Arlotta"" Airport",IT,Grottaglie,TAR
2235,31564,Pescara International Airport,IT,Pescara,PSR
2236,31565,Brindisi – Salento Airport,IT,Brindisi,BDS
2237,31568,Lamezia Terme Airport,IT,Lamezia Terme (CZ),SUF
2238,31569,Comiso Airport,IT,Comiso,CIY
2239,31570,Catania-Fontanarossa Airport,IT,Catania,CTA
2240,31571,Lampedusa Airport,IT,Lampedusa,LMP
2241,31572,Pantelleria Airport,IT,Pantelleria (TP),PNL
2242,31573,Falcone–Borsellino Airport,IT,Palermo,PMO
2243,31576,Reggio Calabria Airport,IT,Reggio Calabria,REG
2244,31577,Vincenzo Florio Airport Trapani-Birgi,IT,Trapani (TP),TPS
2245,31578,Sigonella Navy Air Base,IT,Sigonella (CT),NSY
2246,31596,Alghero-Fertilia Airport,IT,Alghero,AHO
2247,31597,Decimomannu Air Base,IT,Decimomannu,DCI
2248,31598,Cagliari Elmas Airport,IT,Cagliari,CAG
2249,31599,Olbia Costa Smeralda Airport,IT,Olbia (SS),OLB
2250,31601,Tortolì Airport,IT,Arbatax,TTB
2251,31620,Malpensa International Airport,IT,Milan,MXP
2252,31621,Il Caravaggio International Airport,IT,Bergamo,BGY
2253,31622,Turin Airport,IT,Torino,TRN
2254,31623,Villanova D'Albenga International Airport,IT,Albenga (SV),ALL
2255,31624,Genoa Cristoforo Colombo Airport,IT,Genova,GOA
2256,31625,Milano Linate Airport,IT,Milan,LIN
2257,31627,Parma Airport,IT,Parma,PMF
2258,31630,Aosta Airport,IT,Aosta,AOT
2259,31631,Cuneo International Airport,IT,Cuneo,CUF
2260,31634,Aviano Air Base,IT,Aviano (PN),AVB
2261,31635,Bolzano Airport,IT,Bolzano,BZO
2262,31638,Bologna Guglielmo Marconi Airport,IT,Bologna,BLQ
2263,31641,Treviso-Sant'Angelo Airport,IT,Treviso,TSF
2264,31643,Forlì Airport,IT,Forlì (FC),FRL
2265,31647,Brescia Airport,IT,Montichiari (BS),VBS
2266,31648,Trieste–Friuli Venezia Giulia Airport,IT,Trieste,TRS
2267,31649,Federico Fellini International Airport,IT,Rimini,RMI
2268,31652,Padova Airport,IT,Padova,QPA
2269,31654,Verona Villafranca Airport,IT,Verona,VRN
2270,31655,Ancona Falconara Airport,IT,Ancona,AOI
2271,31656,Venice Marco Polo Airport,IT,Venice,VCE
2272,31661,Siena-Ampugnano Airport,IT,Siena,SAY
2273,31662,Sarzana-Luni Air Base,IT,Sarzana (SP),QLP
2274,31663,Ciampino–G. B. Pastine International Airport,IT,Rome,CIA
2275,31666,Leonardo da Vinci–Fiumicino Airport,IT,Rome,FCO
2276,31669,Salerno Costa d'Amalfi Airport,IT,Salerno,QSR
2277,31670,Marina Di Campo Airport,IT,Marina  Di Campo,EBA
2278,31671,Latina Air Base,IT,Latina,QLT
2279,31673,Naples International Airport,IT,Nápoli,NAP
2280,31674,Pisa International Airport,IT,Pisa,PSA
2281,31675,Peretola Airport,IT,Firenze,FLR
2282,31676,Grosseto Air Base,IT,Grosetto,GRS
2283,31679,Perugia San Francesco d'Assisi – Umbria International Airport,IT,Perugia,PEG
2284,31688,Ljubljana Jože Pučnik Airport,SI,Ljubljana,LJU
2286,31694,Portoroz Airport,SI,Portoroz,POW
2287,31742,Kunovice Airport,CZ,Uherské Hradiště,UHE
2288,31743,Karlovy Vary International Airport,CZ,Karlovy Vary,KLV
2289,31754,Ostrava Leos Janáček Airport,CZ,Ostrava,OSR
2290,31762,Pardubice Airport,CZ,Pardubice,PED
2291,31769,Přerov Air Base,CZ,Přerov,PRV
2292,31770,Václav Havel Airport Prague,CZ,Prague,PRG
2293,31788,Brno-Tuřany Airport,CZ,Brno,BRQ
2294,31797,Vodochody Airport,CZ,Vodochody,VOD
2295,31876,Ben Gurion International Airport,IL,Tel Aviv,TLV
2296,31881,Ramon Airport,IL,Eilat,ETM
2297,31887,Haifa International Airport,IL,Haifa,HFA
2298,31893,Ben Ya'akov Airport,IL,Rosh Pina,RPN
2299,31899,Bar Yehuda Airfield,IL,Masada,MTZ
2300,31900,Nevatim Air Base,IL,Beersheba,VTM
2301,31901,Ovda International Airport,IL,Eilat,VDA
2302,31905,Ramon Air Base,IL,Beersheba,MIP
2303,31906,Sde Dov Airport,IL,Tel Aviv,SDV
2304,31913,Malta International Airport,MT,Valletta,MLA
2305,32045,Graz Airport,AT,Graz,GRZ
2306,32046,Innsbruck Airport,AT,Innsbruck,INN
2307,32047,Klagenfurt Airport,AT,Klagenfurt am Wörthersee,KLU
2308,32048,Linz Hörsching Airport,AT,Linz,LNZ
2309,32049,Salzburg Airport,AT,Salzburg,SZG
2310,32050,Vienna International Airport,AT,Vienna,VIE
2311,32061,Alverca Air Base,PT,Vila Franca de Xira,AVR
2312,32063,Santa Maria Airport,PT,Vila do Porto,SMA
2313,32064,Bragança Airport,PT,Bragança,BGC
2314,32066,Beja Airport / Airbase,PT,Beja,BYJ
2315,32067,Braga Municipal Aerodrome,PT,Braga,BGZ
